dataset,error_type,false_positive,false_negative,total
UD_Chinese-GSD,inside-lexicon-item,22,115,137
UD_Chinese-GSD,latin-or-symbol,18,17,35
UD_Chinese-GSD,numeric-expression,8,2,10
UD_Chinese-GSD,other-context,645,52,697
UD_Chinese-GSD,punctuation-adjacent,64,0,64
UD_Chinese-GSD,traditional-boundary,661,0,661
UD_Chinese-PUD,inside-lexicon-item,87,180,267
UD_Chinese-PUD,latin-or-symbol,37,48,85
UD_Chinese-PUD,numeric-expression,29,0,29
UD_Chinese-PUD,other-context,935,55,990
UD_Chinese-PUD,punctuation-adjacent,55,0,55
UD_Chinese-PUD,traditional-boundary,1603,0,1603
UD_Chinese-HK,inside-lexicon-item,24,332,356
UD_Chinese-HK,latin-or-symbol,10,3,13
UD_Chinese-HK,numeric-expression,1,0,1
UD_Chinese-HK,other-context,463,65,528
UD_Chinese-HK,punctuation-adjacent,65,0,65
UD_Chinese-HK,traditional-boundary,509,0,509
